hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,arrival_date
City_Hotel,20,0,1,1,none,SC,Offline_TA/TO,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,85,none,0,2016-06-02
Resort_Hotel,113,3,6,3,none,BB,Direct,Direct,0,0,0,D,D,1,No_Deposit,0,Transient,211.67,none,0,2016-08-13
Resort_Hotel,57,2,5,2,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient-Party,283.43,none,4,2017-08-19
City_Hotel,19,0,2,1,none,BB,Corporate,Corporate,0,0,0,A,A,0,No_Deposit,0,Transient-Party,90,none,0,2016-06-22
Resort_Hotel,22,0,2,1,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient,37.6,none,1,2015-10-27
City_Hotel,44,0,4,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,100.3,none,2,2017-03-01
City_Hotel,9,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,G,0,No_Deposit,0,Transient,111,none,0,2016-11-25
City_Hotel,66,0,4,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,93.6,none,2,2016-11-02
City_Hotel,33,0,2,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,120,none,1,2017-07-11
City_Hotel,153,2,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,96.3,none,0,2016-08-26
City_Hotel,316,0,3,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,110,none,0,2016-05-26
City_Hotel,59,1,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,149,none,1,2017-07-10
City_Hotel,0,1,0,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,75,none,0,2015-08-10
City_Hotel,29,0,2,2,none,HB,Direct,Direct,0,0,0,A,A,1,No_Deposit,0,Transient,145,none,1,2017-01-31
Resort_Hotel,40,1,2,1,none,Undefined,Groups,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,55,none,0,2017-01-16
City_Hotel,301,1,1,2,none,HB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,115,none,1,2016-07-30
City_Hotel,107,2,5,3,none,BB,Direct,Direct,0,0,0,E,E,0,No_Deposit,0,Transient,220,none,1,2017-08-03
Resort_Hotel,162,0,3,2,none,Undefined,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,84,none,0,2016-03-24
City_Hotel,96,0,4,1,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,99,none,0,2017-04-05
City_Hotel,3,2,2,3,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,110.5,none,1,2016-12-24
City_Hotel,1,0,1,1,none,BB,Corporate,Corporate,1,0,2,A,A,0,No_Deposit,0,Transient,65,none,0,2015-11-05
City_Hotel,73,0,3,1,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient-Party,170,none,0,2017-06-08
Resort_Hotel,6,0,1,1,none,BB,Corporate,Corporate,1,0,1,A,A,0,No_Deposit,0,Transient,27,none,0,2016-12-27
Resort_Hotel,50,1,2,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,214,parking,2,2017-07-28
City_Hotel,22,0,1,1,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,126,none,0,2017-05-30
City_Hotel,216,1,5,1,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,108,none,1,2017-06-13
City_Hotel,6,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Contract,90,none,0,2015-08-24
City_Hotel,64,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,111.6,none,2,2016-12-26
Resort_Hotel,26,1,3,2,none,BB,Direct,Direct,0,0,0,F,F,0,No_Deposit,0,Transient,70,none,2,2017-02-13
City_Hotel,193,0,2,3,none,HB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,188.1,none,2,2017-07-20
Resort_Hotel,47,2,5,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,D,D,0,No_Deposit,0,Contract,50.85,none,0,2017-04-17
City_Hotel,87,0,4,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,144,none,0,2017-05-24
City_Hotel,227,0,3,3,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,157.5,none,2,2017-06-01
City_Hotel,20,2,3,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,145,none,1,2016-09-24
City_Hotel,88,0,3,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,132.3,none,1,2016-10-20
Resort_Hotel,285,2,5,2,none,BB,Groups,TA/TO,0,0,0,D,E,1,No_Deposit,0,Transient-Party,78,none,3,2016-09-20
Resort_Hotel,0,0,1,1,none,BB,Direct,Corporate,1,1,14,A,B,0,No_Deposit,0,Transient,42,none,0,2016-04-13
Resort_Hotel,3,2,3,1,none,BB,Corporate,Corporate,0,0,0,A,E,2,No_Deposit,0,Transient,49.3,none,0,2016-02-04
City_Hotel,105,2,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,89.3,none,0,2016-03-05
City_Hotel,36,0,3,1,none,HB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,91,none,0,2015-10-13
Resort_Hotel,24,0,1,2,none,BB,Corporate,Corporate,0,0,0,A,A,0,No_Deposit,0,Transient-Party,32,none,0,2015-11-21
City_Hotel,27,2,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,90.84,none,2,2016-05-22
Resort_Hotel,14,0,3,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,60,none,2,2017-03-08
City_Hotel,112,1,3,3,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,115.52,none,1,2016-05-05
City_Hotel,1,0,2,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,88,none,0,2017-02-10
City_Hotel,99,0,1,1,none,BB,Corporate,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,81,none,0,2016-02-19
City_Hotel,32,2,2,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,85,none,0,2016-03-13
City_Hotel,146,0,1,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,B,0,No_Deposit,0,Transient,81.25,none,1,2016-08-05
Resort_Hotel,0,1,3,1,none,BB,Direct,Direct,0,0,0,A,D,0,No_Deposit,0,Transient,38,none,0,2016-01-04
Resort_Hotel,20,1,0,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,48,none,0,2016-11-20
City_Hotel,51,0,1,2,none,BB,Direct,Direct,0,0,0,A,B,0,No_Deposit,0,Transient,79.2,none,1,2016-12-03
City_Hotel,27,1,0,2,none,BB,Online_TA,TA/TO,0,0,0,A,E,0,No_Deposit,0,Transient,80.85,none,1,2015-10-04
Resort_Hotel,70,2,3,2,none,HB,Direct,Direct,0,0,0,E,E,0,No_Deposit,0,Transient,137,none,1,2015-07-02
Resort_Hotel,0,0,1,2,none,BB,Direct,Direct,0,0,0,D,D,0,No_Deposit,0,Transient,48,none,0,2015-12-08
Resort_Hotel,46,2,5,2,none,HB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,114.63,none,1,2015-07-21
City_Hotel,1,0,1,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,109,none,0,2016-07-29
City_Hotel,3,1,0,1,none,SC,Online_TA,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient,119,none,1,2017-08-27
City_Hotel,386,2,0,2,none,HB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,115,none,1,2016-10-23
Resort_Hotel,12,0,3,2,none,Undefined,Groups,Direct,0,0,0,A,A,1,No_Deposit,0,Transient-Party,85.33,none,0,2016-04-27
City_Hotel,0,0,1,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Contract,114,none,2,2015-09-30
Resort_Hotel,190,2,5,1,none,HB,Groups,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,45.9,none,0,2016-04-10
City_Hotel,177,0,3,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,72.25,none,1,2016-06-30
Resort_Hotel,65,2,8,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,E,E,0,No_Deposit,0,Contract,54.99,none,0,2015-11-05
Resort_Hotel,11,1,2,1,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,43,none,0,2017-01-30
City_Hotel,23,0,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,130,none,1,2016-09-08
Resort_Hotel,45,2,5,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,56,none,1,2015-10-01
City_Hotel,1,2,5,2,none,BB,Direct,TA/TO,0,0,0,A,A,1,No_Deposit,0,Group,88,none,1,2017-01-21
City_Hotel,76,2,3,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,108,none,0,2017-07-16
City_Hotel,170,2,3,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,99,none,3,2017-04-21
City_Hotel,180,0,4,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,89.25,none,0,2016-08-03
Resort_Hotel,1,0,1,2,none,BB,Direct,Direct,0,0,0,E,G,0,No_Deposit,0,Transient,110,parking,0,2015-10-03
City_Hotel,54,2,2,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,74.8,none,1,2016-11-18
Resort_Hotel,21,0,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,126,none,1,2017-06-09
City_Hotel,96,1,0,3,none,BB,Online_TA,TA/TO,0,0,0,D,F,0,No_Deposit,0,Transient,168.3,parking,2,2016-06-19
Resort_Hotel,2,0,1,1,none,BB,Direct,Direct,0,0,2,A,A,0,No_Deposit,0,Transient,35,none,1,2017-01-25
Resort_Hotel,2,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,55,none,2,2015-12-26
City_Hotel,51,0,1,2,none,HB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,133.2,none,1,2017-03-04
Resort_Hotel,64,0,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,61.6,none,1,2017-04-12
City_Hotel,57,2,4,2,none,HB,Direct,Direct,0,0,0,A,A,1,No_Deposit,0,Transient,162,none,0,2017-08-02
City_Hotel,2,0,1,1,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,175,none,0,2016-11-09
City_Hotel,0,0,0,0,none,BB,Offline_TA/TO,TA/TO,1,0,0,A,K,0,No_Deposit,0,Transient,0,none,0,2016-12-05
Resort_Hotel,2,1,0,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,101.7,none,1,2017-06-25
Resort_Hotel,283,2,5,1,none,BB,Groups,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,41.98,none,0,2015-10-12
City_Hotel,99,1,2,3,none,BB,Online_TA,TA/TO,0,0,0,D,E,0,No_Deposit,0,Transient,195,none,2,2017-08-21
City_Hotel,0,0,2,1,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,78,none,0,2017-01-20
Resort_Hotel,17,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,E,G,0,No_Deposit,0,Transient,88,none,1,2017-02-04
City_Hotel,252,1,2,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,81.9,none,1,2017-01-09
City_Hotel,5,0,2,2,none,BB,Corporate,Corporate,1,0,9,A,A,0,No_Deposit,0,Transient,65,none,1,2017-01-11
Resort_Hotel,151,3,6,2,none,HB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,166.66,none,1,2016-08-01
City_Hotel,27,0,1,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,95,none,0,2016-09-20
Resort_Hotel,169,0,4,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,2,No_Deposit,0,Transient-Party,160,none,2,2017-07-19
Resort_Hotel,89,4,7,2,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,99.18,none,0,2015-09-06
City_Hotel,42,1,3,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,103.84,none,1,2016-04-21
City_Hotel,30,2,1,2,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,180,none,0,2017-04-08
City_Hotel,6,1,2,1,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,92,none,0,2016-02-22
Resort_Hotel,248,1,4,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,54,none,1,2017-05-03
City_Hotel,30,1,2,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,2,No_Deposit,0,Transient,87.27,none,0,2016-11-11
Resort_Hotel,107,1,2,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient-Party,134,none,1,2015-08-10
Resort_Hotel,4,2,5,2,none,HB,Offline_TA/TO,TA/TO,0,0,0,E,E,0,No_Deposit,0,Contract,47,none,0,2016-03-12
Resort_Hotel,2,0,2,1,none,BB,Offline_TA/TO,TA/TO,1,0,1,A,C,0,No_Deposit,0,Group,38,parking,0,2017-01-18
City_Hotel,204,2,2,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,72.75,none,0,2015-10-09
City_Hotel,140,0,2,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,103.5,none,1,2016-08-12
City_Hotel,92,0,3,2,none,BB,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,97.2,none,3,2017-03-09
City_Hotel,14,0,3,2,none,BB,Online_TA,TA/TO,0,0,0,B,B,1,No_Deposit,0,Transient-Party,79.25,none,0,2016-01-21
Resort_Hotel,2,0,1,2,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,85,none,0,2016-02-13
City_Hotel,1,0,3,2,none,SC,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,88,parking,2,2017-02-09
Resort_Hotel,86,0,1,1,none,BB,Corporate,TA/TO,0,0,0,A,A,1,No_Deposit,0,Transient-Party,120,none,0,2017-06-30
City_Hotel,12,2,1,2,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,85.67,none,0,2015-10-25
City_Hotel,3,2,4,2,none,BB,Direct,Direct,0,0,0,A,A,1,No_Deposit,0,Transient,117.26,none,2,2016-08-24
Resort_Hotel,162,3,7,2,none,BB,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,0,Transient,188,none,1,2017-07-10
City_Hotel,220,1,3,2,none,BB,Direct,Direct,0,0,0,A,A,0,No_Deposit,0,Transient,95.63,none,0,2017-07-03
Resort_Hotel,4,0,2,2,none,HB,Direct,Direct,0,0,0,F,F,1,No_Deposit,0,Transient,98,none,1,2015-11-20
City_Hotel,134,0,4,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,D,0,No_Deposit,0,Transient,71,none,1,2016-04-19
Resort_Hotel,0,0,2,2,none,BB,Direct,Direct,0,0,0,A,A,1,No_Deposit,0,Transient,64,parking,0,2015-10-23
City_Hotel,134,0,1,1,none,BB,Groups,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient-Party,75,none,0,2017-02-25
City_Hotel,90,1,2,2,none,BB,Offline_TA/TO,TA/TO,0,0,0,A,A,0,No_Deposit,0,Transient,85,none,0,2017-04-17
Resort_Hotel,18,1,3,1,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,65,none,1,2017-02-23
City_Hotel,85,1,1,3,none,BB,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,0,Transient,190,none,1,2017-07-03
